start,end,strand,gene_id,description
3573271,772,1,BAA16579,solanesyl diphosphate synthase
937,1494,1,BAA16580,
1577,2098,1,BAA16581,
2172,2873,-1,BAA16582,
3192,4268,-1,BAA16583,
4451,5389,-1,BAA16584,
5534,6622,-1,BAA16585,GDP-D-mannose dehydratase
7229,8311,1,BAA16586,photosystem II D1 protein
8492,10471,1,BAA16587,arginine decarboxylase
10622,12631,-1,BAA16588,DNA ligase
12755,13363,1,BAA16589,
13498,14529,1,BAA16590,iron(III) dicitrate transport system permease protein; FecC
14626,15675,1,BAA16591,iron(III) dicitrate transport system permease protein; FecD
15937,16743,1,BAA16592,iron(III) dicitrate transport system permease protein; FecE
16740,17687,1,BAA16593,iron(III) dicitrate transport system permease protein; FecB
17853,20408,-1,BAA16594,ferric aerobactin receptor
20615,21595,-1,BAA16595,regulatory protein; PchR
21838,23121,-1,BAA16596,
23139,24104,-1,BAA16597,
24101,25144,-1,BAA16598,
25266,27857,-1,BAA16599,ferrichrome-iron receptor
27990,29030,-1,BAA16600,regulatory protein; PcrR
29098,29895,-1,BAA16601,
29968,32454,-1,BAA16602,ferrichrome-iron receptor
32524,32952,-1,BAA16603,
32912,33544,-1,BAA16604,biopolymer transport ExbB protein
33891,35489,1,BAA16605,
35566,36615,1,BAA16606,
36721,38538,1,BAA16607,ABC transporter
38644,39636,1,BAA16608,regulatory protein; PchR
39802,42363,1,BAA16609,ferrichrome-iron receptor
42405,43397,1,BAA16610,iron(III) dicitrate-binding periplasmic protein
43571,44506,1,BAA16611,iron(III) dicitrate-binding periplasmic protein
44442,44885,1,BAA16612,
44948,46789,1,BAA16613,ABC transporter
47007,48017,-1,BAA16614,
48067,48408,-1,BAA16615,
48405,48635,-1,BAA16616,
48663,49868,-1,BAA16617,
49893,50231,-1,BAA16618,photosystem II 13 kD protein
50246,51895,1,BAA16619,
52260,53108,-1,BAA16620,transposase
53453,54127,-1,BAA16621,
54533,55657,1,BAA16622,hydrogenase isoenzymes formation protein; HypD
